lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.0
3,15SCENES,evmC,2,0.0
3,15SCENES,evmC,3,0.0
3,15SCENES,evmC,4,0.0
3,15SCENES,evmC,5,0.0
3,15SCENES,evmC,6,0.0
3,15SCENES,evmC,7,0.0
3,15SCENES,evmC,8,0.0
3,15SCENES,evmC,9,0.0
3,15SCENES,evmC,10,0.0
6,15SCENES,evmC,1,0.0
6,15SCENES,evmC,2,0.0
6,15SCENES,evmC,3,0.0
6,15SCENES,evmC,4,0.0
6,15SCENES,evmC,5,0.0
6,15SCENES,evmC,6,0.0
6,15SCENES,evmC,7,0.0
6,15SCENES,evmC,8,0.0
6,15SCENES,evmC,9,0.0
6,15SCENES,evmC,10,0.0
9,15SCENES,evmC,1,0.0
9,15SCENES,evmC,2,0.0
9,15SCENES,evmC,3,0.0
9,15SCENES,evmC,4,0.0
9,15SCENES,evmC,5,0.0
9,15SCENES,evmC,6,0.0
9,15SCENES,evmC,7,0.0
9,15SCENES,evmC,8,0.0
9,15SCENES,evmC,9,0.0
9,15SCENES,evmC,10,0.0
12,15SCENES,evmC,1,0.0
12,15SCENES,evmC,2,0.0
12,15SCENES,evmC,3,0.0
12,15SCENES,evmC,4,0.0
12,15SCENES,evmC,5,0.0
12,15SCENES,evmC,6,0.0
12,15SCENES,evmC,7,0.0
12,15SCENES,evmC,8,0.0
12,15SCENES,evmC,9,0.0
12,15SCENES,evmC,10,0.0
3,ALOI,evmC,1,0.0
3,ALOI,evmC,2,0.0
3,ALOI,evmC,3,0.0
3,ALOI,evmC,4,0.0
3,ALOI,evmC,5,0.0
3,ALOI,evmC,6,0.0
3,ALOI,evmC,7,0.0
3,ALOI,evmC,8,0.0
3,ALOI,evmC,9,0.0
3,ALOI,evmC,10,0.0
6,ALOI,evmC,1,0.0
6,ALOI,evmC,2,0.0
6,ALOI,evmC,3,0.0
6,ALOI,evmC,4,0.0
6,ALOI,evmC,5,0.0
6,ALOI,evmC,6,0.0
6,ALOI,evmC,7,0.0
6,ALOI,evmC,8,0.0
6,ALOI,evmC,9,0.0
6,ALOI,evmC,10,0.0
9,ALOI,evmC,1,0.0
9,ALOI,evmC,2,0.0
9,ALOI,evmC,3,0.0
9,ALOI,evmC,4,0.0
9,ALOI,evmC,5,0.0
9,ALOI,evmC,6,0.0
9,ALOI,evmC,7,0.0
9,ALOI,evmC,8,0.0
9,ALOI,evmC,9,0.0
9,ALOI,evmC,10,0.0
12,ALOI,evmC,1,0.0
12,ALOI,evmC,2,0.0
12,ALOI,evmC,3,0.0
12,ALOI,evmC,4,0.0
12,ALOI,evmC,5,0.0
12,ALOI,evmC,6,0.0
12,ALOI,evmC,7,0.0
12,ALOI,evmC,8,0.0
12,ALOI,evmC,9,0.0
12,ALOI,evmC,10,0.0
3,AUSLAN,evmC,1,0.0
3,AUSLAN,evmC,2,0.0
3,AUSLAN,evmC,3,0.0
3,AUSLAN,evmC,4,0.0
3,AUSLAN,evmC,5,0.0
3,AUSLAN,evmC,6,0.0
3,AUSLAN,evmC,7,0.0
3,AUSLAN,evmC,8,0.0
3,AUSLAN,evmC,9,0.0
3,AUSLAN,evmC,10,0.0
6,AUSLAN,evmC,1,0.0
6,AUSLAN,evmC,2,0.0
6,AUSLAN,evmC,3,0.0
6,AUSLAN,evmC,4,0.0
6,AUSLAN,evmC,5,0.0
6,AUSLAN,evmC,6,0.0
6,AUSLAN,evmC,7,0.0
6,AUSLAN,evmC,8,0.0
6,AUSLAN,evmC,9,0.0
6,AUSLAN,evmC,10,0.0
9,AUSLAN,evmC,1,0.0
9,AUSLAN,evmC,2,0.0
9,AUSLAN,evmC,3,0.0
9,AUSLAN,evmC,4,0.0
9,AUSLAN,evmC,5,0.0
9,AUSLAN,evmC,6,0.0
9,AUSLAN,evmC,7,0.0
9,AUSLAN,evmC,8,0.0
9,AUSLAN,evmC,9,0.0
9,AUSLAN,evmC,10,0.0
12,AUSLAN,evmC,1,0.0
12,AUSLAN,evmC,2,0.0
12,AUSLAN,evmC,3,0.0
12,AUSLAN,evmC,4,0.0
12,AUSLAN,evmC,5,0.0
12,AUSLAN,evmC,6,0.0
12,AUSLAN,evmC,7,0.0
12,AUSLAN,evmC,8,0.0
12,AUSLAN,evmC,9,0.0
12,AUSLAN,evmC,10,0.0
3,CALTECH256,evmC,1,0.0
3,CALTECH256,evmC,2,0.0
3,CALTECH256,evmC,3,0.0
3,CALTECH256,evmC,4,0.0
3,CALTECH256,evmC,5,0.0
3,CALTECH256,evmC,6,0.0
3,CALTECH256,evmC,7,0.0
3,CALTECH256,evmC,8,0.0
3,CALTECH256,evmC,9,0.0
3,CALTECH256,evmC,10,0.0
6,CALTECH256,evmC,1,0.0
6,CALTECH256,evmC,2,0.0
6,CALTECH256,evmC,3,0.0
6,CALTECH256,evmC,4,0.0
6,CALTECH256,evmC,5,0.0
6,CALTECH256,evmC,6,0.0
6,CALTECH256,evmC,7,0.0
6,CALTECH256,evmC,8,0.0
6,CALTECH256,evmC,9,0.0
6,CALTECH256,evmC,10,0.0
9,CALTECH256,evmC,1,0.0
9,CALTECH256,evmC,2,0.0
9,CALTECH256,evmC,3,0.0
9,CALTECH256,evmC,4,0.0
9,CALTECH256,evmC,5,0.0
9,CALTECH256,evmC,6,0.0
9,CALTECH256,evmC,7,0.0
9,CALTECH256,evmC,8,0.0
9,CALTECH256,evmC,9,0.0
9,CALTECH256,evmC,10,0.0
12,CALTECH256,evmC,1,0.0
12,CALTECH256,evmC,2,0.0
12,CALTECH256,evmC,3,0.0
12,CALTECH256,evmC,4,0.0
12,CALTECH256,evmC,5,0.0
12,CALTECH256,evmC,6,0.0
12,CALTECH256,evmC,7,0.0
12,CALTECH256,evmC,8,0.0
12,CALTECH256,evmC,9,0.0
12,CALTECH256,evmC,10,0.0
3,CIFAR10,evmC,1,0.0
3,CIFAR10,evmC,2,0.0
3,CIFAR10,evmC,3,0.0
3,CIFAR10,evmC,4,0.0
3,CIFAR10,evmC,5,0.0
3,CIFAR10,evmC,6,0.0
3,CIFAR10,evmC,7,0.0
3,CIFAR10,evmC,8,0.0
3,CIFAR10,evmC,9,0.0
3,CIFAR10,evmC,10,0.0
6,CIFAR10,evmC,1,0.0
6,CIFAR10,evmC,2,0.0
6,CIFAR10,evmC,3,0.0
6,CIFAR10,evmC,4,0.0
6,CIFAR10,evmC,5,0.0
6,CIFAR10,evmC,6,0.0
6,CIFAR10,evmC,7,0.0
6,CIFAR10,evmC,8,0.0
6,CIFAR10,evmC,9,0.0
6,CIFAR10,evmC,10,0.0
9,CIFAR10,evmC,1,0.0
9,CIFAR10,evmC,2,0.0
9,CIFAR10,evmC,3,0.0
9,CIFAR10,evmC,4,0.0
9,CIFAR10,evmC,5,0.0
9,CIFAR10,evmC,6,0.0
9,CIFAR10,evmC,7,0.0
9,CIFAR10,evmC,8,0.0
9,CIFAR10,evmC,9,0.0
9,CIFAR10,evmC,10,0.0
3,FACTORS,evmC,1,0.0
3,FACTORS,evmC,2,0.0
3,FACTORS,evmC,3,0.0
3,FACTORS,evmC,4,0.0
3,FACTORS,evmC,5,0.0
3,FACTORS,evmC,6,0.0
3,FACTORS,evmC,7,0.0
3,FACTORS,evmC,8,0.0
3,FACTORS,evmC,9,0.0
3,FACTORS,evmC,10,0.0
6,FACTORS,evmC,1,0.0
6,FACTORS,evmC,2,0.0
6,FACTORS,evmC,3,0.0
6,FACTORS,evmC,4,0.0
6,FACTORS,evmC,5,0.0
6,FACTORS,evmC,6,0.0
6,FACTORS,evmC,7,0.0
6,FACTORS,evmC,8,0.0
6,FACTORS,evmC,9,0.0
6,FACTORS,evmC,10,0.0
9,FACTORS,evmC,1,0.0
9,FACTORS,evmC,2,0.0
9,FACTORS,evmC,3,0.0
9,FACTORS,evmC,4,0.0
9,FACTORS,evmC,5,0.0
9,FACTORS,evmC,6,0.0
9,FACTORS,evmC,7,0.0
9,FACTORS,evmC,8,0.0
9,FACTORS,evmC,9,0.0
9,FACTORS,evmC,10,0.0
3,FOURIER,evmC,1,0.0
3,FOURIER,evmC,2,0.0
3,FOURIER,evmC,3,0.0
3,FOURIER,evmC,4,0.0
3,FOURIER,evmC,5,0.0
3,FOURIER,evmC,6,0.0
3,FOURIER,evmC,7,0.0
3,FOURIER,evmC,8,0.0
3,FOURIER,evmC,9,0.0
3,FOURIER,evmC,10,0.0
6,FOURIER,evmC,1,0.0
6,FOURIER,evmC,2,0.0
6,FOURIER,evmC,3,0.0
6,FOURIER,evmC,4,0.0
6,FOURIER,evmC,5,0.0
6,FOURIER,evmC,6,0.0
6,FOURIER,evmC,7,0.0
6,FOURIER,evmC,8,0.0
6,FOURIER,evmC,9,0.0
6,FOURIER,evmC,10,0.0
9,FOURIER,evmC,1,0.0
9,FOURIER,evmC,2,0.0
9,FOURIER,evmC,3,0.0
9,FOURIER,evmC,4,0.0
9,FOURIER,evmC,5,0.0
9,FOURIER,evmC,6,0.0
9,FOURIER,evmC,7,0.0
9,FOURIER,evmC,8,0.0
9,FOURIER,evmC,9,0.0
9,FOURIER,evmC,10,0.0
3,IMAGENET,evmC,1,0.0
3,IMAGENET,evmC,2,0.0
3,IMAGENET,evmC,3,0.0
3,IMAGENET,evmC,4,0.0
3,IMAGENET,evmC,5,0.0
3,IMAGENET,evmC,6,0.0
3,IMAGENET,evmC,7,0.0
3,IMAGENET,evmC,8,0.0
3,IMAGENET,evmC,9,0.0
3,IMAGENET,evmC,10,0.0
6,IMAGENET,evmC,1,0.0
6,IMAGENET,evmC,2,0.0
6,IMAGENET,evmC,3,0.0
6,IMAGENET,evmC,4,0.0
6,IMAGENET,evmC,5,0.0
6,IMAGENET,evmC,6,0.0
6,IMAGENET,evmC,7,0.0
6,IMAGENET,evmC,8,0.0
6,IMAGENET,evmC,9,0.0
6,IMAGENET,evmC,10,0.0
9,IMAGENET,evmC,1,0.0
9,IMAGENET,evmC,2,0.0
9,IMAGENET,evmC,3,0.0
